1.000000000000000000e+00 7.661290322580645018e-01 3.951612903225806273e-01 2.822580645161290591e-01 2.500000000000000000e-01 2.096774193548387177e-01 1.612903225806451568e-01 2.016129032258064391e-01 2.419354838709677491e-01 4.435483870967741882e-01 7.096774193548387455e-01
7.822580645161290036e-01 1.000000000000000000e+00 8.951612903225806273e-01 5.241935483870967527e-01 2.903225806451613100e-01 2.338709677419354704e-01 3.225806451612903136e-01 3.629032258064516236e-01 4.193548387096774355e-01 5.564516129032257563e-01 4.919354838709677491e-01
4.435483870967741882e-01 9.274193548387096309e-01 9.758064516129032473e-01 9.435483870967742437e-01 5.403225806451612545e-01 4.193548387096774355e-01 4.354838709677419373e-01 5.403225806451612545e-01 5.403225806451612545e-01 5.241935483870967527e-01 3.870967741935483764e-01
2.580645161290322509e-01 5.645161290322581182e-01 8.709677419354838745e-01 9.838709677419354982e-01 8.387096774193548709e-01 6.209677419354838745e-01 6.935483870967742437e-01 6.451612903225806273e-01 5.483870967741935054e-01 4.032258064516128782e-01 2.822580645161290591e-01
2.580645161290322509e-01 2.903225806451613100e-01 5.322580645161290036e-01 8.145161290322581182e-01 9.758064516129032473e-01 9.677419354838709964e-01 8.709677419354838745e-01 6.774193548387096309e-01 5.000000000000000000e-01 2.903225806451613100e-01 2.338709677419354704e-01
2.338709677419354704e-01 2.500000000000000000e-01 3.467741935483871218e-01 5.887096774193548709e-01 9.596774193548387455e-01 9.838709677419354982e-01 9.516129032258064946e-01 6.774193548387096309e-01 3.790322580645161255e-01 2.822580645161290591e-01 2.258064516129032195e-01
2.661290322580645018e-01 2.903225806451613100e-01 3.951612903225806273e-01 6.290322580645161255e-01 8.790322580645161255e-01 9.435483870967742437e-01 9.838709677419354982e-01 8.951612903225806273e-01 6.129032258064516236e-01 3.145161290322580627e-01 2.338709677419354704e-01
2.903225806451613100e-01 3.548387096774193727e-01 5.080645161290322509e-01 6.532258064516128782e-01 7.338709677419354982e-01 7.258064516129032473e-01 8.870967741935483764e-01 9.758064516129032473e-01 9.274193548387096309e-01 4.516129032258064391e-01 2.661290322580645018e-01
2.903225806451613100e-01 4.112903225806451846e-01 5.564516129032257563e-01 5.483870967741935054e-01 5.000000000000000000e-01 4.435483870967741882e-01 6.774193548387096309e-01 9.354838709677418818e-01 9.919354838709677491e-01 7.258064516129032473e-01 3.951612903225806273e-01
5.403225806451612545e-01 6.209677419354838745e-01 5.483870967741935054e-01 3.306451612903225645e-01 3.064516129032258118e-01 3.064516129032258118e-01 3.387096774193548154e-01 4.838709677419354982e-01 6.774193548387096309e-01 9.838709677419354982e-01 7.419354838709677491e-01
7.338709677419354982e-01 5.080645161290322509e-01 2.903225806451613100e-01 2.822580645161290591e-01 2.338709677419354704e-01 2.338709677419354704e-01 1.854838709677419373e-01 2.016129032258064391e-01 3.064516129032258118e-01 7.258064516129032473e-01 1.000000000000000000e+00
